pattern_id,code,pattern,length,density,frequency,found_in
P025,ININ,- X - X | - X X X | - X - X | - X X X,16,10,112,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เชิด สองชั้น, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), กราวใน, ช้าเรื่องสร้อยสน (พระนคร), ทะเลบ้า เถา, อกทะเล เถา, ช้าเรื่องตะนาว (พระนคร) …+25"
P026,NILL,- X X X | - X - X | X X - X | X X - X,16,11,111,"สาธุการ, สารถี เถา, เขมรลออองค์ เถา, มอญรำดาบ สองชั้น, ใบ้คลั่ง เถา, จระเข้หางยาว เถา (ทางเสภา), เหาะ, ทะแยกลองโยน …+47"
P027,OOOO,- - - - | - - - - | - - - - | - - - -,16,0,102,"แขกโอด สามชั้น, แขกลพบุรี สามชั้น, อกทะเล สามชั้น, คุกพาทย์, อาเฮีย เถา, อาหนู เถา, โสมส่องแสง เถา, ลาวเสี่ยงเทียน เถา …+8"
P028,II,- X - X | - X - X,8,4,99,"เชิด ชั้นเดียว, เจดีย์เจ็ดยอด, ปฐม ชั้นเดียว, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), จีนล่องหน่าย, พญาเดิน, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ) …+7"
P029,JIIL,- - X X | - X - X | - X - X | X X - X,16,9,99,"พระรามเดินดง, ช้าเรื่องตะนาว (พระนคร), โอ้ลาว เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เขมรใหญ่ สามชั้น, ปฐม สองชั้น, ทยอย, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง) …+19"
P030,IIIL,- X - X | - X - X | - X - X | X X - X,16,9,97,"กลม, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ช้าเรื่องขอมดำดิน, ช้าเรื่องจีนแส (พระนคร), ระบำดาวดึงส์, ฝรั่งรำเท้า …+27"
P031,NPIL,- X X X | X X X X | - X - X | X X - X,16,12,97,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ลมพัดชายเขา สองชั้น, เชิดจีน, โอ้ลาว เถา, พม่าห้าท่อน สามชั้น, นาคราช สองชั้น, พระรามเดินดง, เขมรปี่แก้ว สามชั้น …+29"
P032,NPIN,- X X X | X X X X | - X - X | - X X X,16,12,94,"โหมโรงทะแย, พญาโศก สามชั้น, อกทะเล สามชั้น, ทยอยเขมร สามชั้น, ฝรั่งรำเท้า, โหมโรงพม่าวัด, ตับมโหรีนางนาค, อาถรรพ์ เถา …+40"
P033,IPPP,- X - X | X X X X | X X X X | X X X X,16,14,92,"โหมโรงทะแย, ต่อยรูป เถา, แขกมอญ เถา, โหมโรงขวัญเมือง, โหมโรงแขกมอญทางหลีก, แขกมอญบางขุนพรหม เถา, นารายณ์แปลงรูป สามชั้น, ลิงโลด สองชั้น …+40"
P034,NIIL,- X X X | - X - X | - X - X | X X - X,16,10,87,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เข้าม่าน, สาธุการ, ช้าเรื่องสร้อยสน (พระนคร), ช้าเรื่องตะนาว (พระนคร), จีนลั่นถัน เถา, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), เสมอ …+19"
P035,OIOI,- - - - | - X - X | - - - - | - X - X,16,4,86,"พม่าห้าท่อน หกชั้น, แขกขาว เถา, โอ้ลาว เถา, พม่าห้าท่อน สามชั้น, เงี้ยวรำลึก เถา, ระบำสุโขทัย, เขมรลออองค์ เถา, โสมส่องแสง เถา …+26"
P036,ODJL,- - - - | - - - X | - - X X | X X - X,16,6,82,"แขกโอด สามชั้น, ทะเลบ้า เถา, โอ้ลาว เถา, ทยอยนอก สามชั้น, บังใบ เถา, เขมรราชบุรี สามชั้น, แขกลพบุรี สามชั้น, ทยอยใน เถา …+12"
P037,OOII,- - - - | - - - - | - X - X | - X - X,16,4,80,"ระบำนกเขามะราปี, ระบำเทพบันเทิง, ระบำชุมนุมเผ่าไทย, แขกอาหวัง สองชั้น, ลาวเสี่ยงเทียน เถา, แขกลพบุรี สามชั้น, แป๊ะ สามชั้น, โยสลัม สองชั้น …+17"
P038,ODOD,- - - - | - - - X | - - - - | - - - X,16,2,79,"โหมโรงพม่าวัด, ช้างประสานงา เถา, พม่าห้าท่อน สามชั้น, ระบำชุมนุมเผ่าไทย, บังใบ เถา, เชิดจีน, ระบำเริงอรุณ, ระบำม่านมุ้ยเชียงตา …+25"
P039,JPPI,- - X X | X X X X | X X X X | - X - X,16,12,78,"เชิดจีน, ทยอยนอก สามชั้น, เขมรราชบุรี สามชั้น, โอ้ลาว เถา, ทยอยญวน เถา, แขกโอด สามชั้น, แขกลพบุรี สามชั้น, ทยอยใน เถา …+14"
P040,PLPL,X X X X | X X - X | X X X X | X X - X,16,14,78,"โหมโรงกราวนอก, พม่าห้าท่อน หกชั้น, ทยอยเขมร สามชั้น, โหมโรงจีนโล้, เขมรราชบุรี สามชั้น, เทพบรรทม เถา, บังใบ เถา, ทยอยญวน เถา …+14"
P041,BLII,- X - - | X X - X | - X - X | - X - X,16,8,76,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตับมโหรีนางนาค, ทยอยใน เถา, สารถี เถา, บุหลัน เถา, จระเข้หางยาว เถา (ทางเสภา), ตระจอมศรี, ตระท้าวน้อย …+33"
P042,DINI,- - - X | - X - X | - X X X | - X - X,16,8,71,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ช้าเรื่องสร้อยสน (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ตับมโหรีนางนาค, ตระจอมศรี, นางครวญ เถา, สารถี เถา, บาทสกุณี (เสมอตีนนก) …+21"
P043,DIDD,- - - X | - X - X | - - - X | - - - X,16,5,70,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตระจอมศรี, โลมเพลงฉิ่ง, ระบำหน้าช้าง, ฝรั่งรำเท้า, โอ้ปี่, ระบำม่านมุ้ยเชียงตา …+21"
P044,IINP,- X - X | - X - X | - X X X | X X X X,16,11,70,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำม่านมุ้ยเชียงตา, อาเฮีย เถา, บังใบ เถา, บุหลัน เถา, ทยอยใน เถา, ตับวิวาห์พระสมุทร, ต่อยรูป เถา …+1"
P045,DIDI,- - - X | - X - X | - - - X | - X - X,16,6,68,"ระบำดอกบัว, ตระเสือขับ, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าเรื่องสร้อยสน (พระนคร), ตระท้าวน้อย, ระบำม้า (เพลงม้าโขยก), เซ่นเหล้า, ช้าเรื่องขอมดำดิน …+28"
P046,DJDJ,- - - X | - - X X | - - - X | - - X X,16,6,65,"ทยอยญวน เถา, บังใบ เถา, พม่าห้าท่อน หกชั้น, โหมโรงกราวนอก, ทยอยนอก สามชั้น, ระบำนกเขามะราปี, พญาเดิน, แขกมอญบางขุนพรหม เถา …+15"
P047,IIJI,- X - X | - X - X | - - X X | - X - X,16,8,65,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), สารถี เถา, ระบำม่านมุ้ยเชียงตา, โลม, ตับสมิงทอง, สี่บท เถา, ช้าเรื่องจีนแส (พระนคร), ลมพัดชายเขา สองชั้น …+30"
P048,DDII,- - - X | - - - X | - X - X | - X - X,16,6,62,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), บาทสกุณี (เสมอตีนนก), บังใบ เถา, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ระบำพัทธวิสัย, พม่าเห่ เถา, ตับวิวาห์พระสมุทร, ชมแสงจันทร์ เถา …+27"
P049,INNP,- X - X | - X X X | - X X X | X X X X,16,12,61,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), โหมโรงพม่าวัด, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), บังใบ เถา, ช้าเรื่องสร้อยสน (พระนคร), ทยอยญวน เถา, ตับวิวาห์พระสมุทร, กราวใน …+11"
P050,JLLL,- - X X | X X - X | X X - X | X X - X,16,11,58,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), จีนล่องหน่าย, สารถี เถา, เชิดฉาน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ต่อยรูป เถา, สิงโต สองชั้น …+17"
P051,ODDD,- - - - | - - - X | - - - X | - - - X,16,3,58,"ระบำสี่บท, ระบำนพรัตน์, สรภัญญะ, ตระนิมิต, ทยอยนอก สามชั้น, พม่าห้าท่อน หกชั้น, ระบำบันเทิงกาสร, ระบำพัทธวิสัย …+17"
P052,PIPI,X X X X | - X - X | X X X X | - X - X,16,12,58,"ทยอยญวน เถา, เชิดจีน, ช้าเรื่องขอมดำดิน, แขกลพบุรี สามชั้น, ทยอยนอก สามชั้น, บังใบ เถา, เทพบรรทม เถา, มอญรำดาบ เถา …+8"
P053,PPPI,X X X X | X X X X | X X X X | - X - X,16,14,57,"บังใบ เถา, แขกโอด สามชั้น, กลม, ฟ้อนพวงมาลัย, ทยอยเขมร สามชั้น, ระบำพม่านิมิตร, ราตรีประดับดาว เถา, อาหนู เถา …+17"
P054,IIDD,- X - X | - X - X | - - - X | - - - X,16,6,56,"ระบำดาวดึงส์, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ระบำสี่บท, ช้าเรื่องตะนาว (พระนคร), โสมส่องแสง เถา, พม่าเขว ชั้นเดียว, ระบำมฤคระเริง, ใบ้คลั่ง เถา …+34"
P055,INII,- X - X | - X X X | - X - X | - X - X,16,9,54,"เชิด สองชั้น, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าเรื่องขอมดำดิน, พระรามเดินดง, ช้าเรื่องตะนาว (พระนคร), เข้าม่าน, พญาเดิน …+3"
